eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1990,4649770.43990,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1991,4444605.53183,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1992,4320714.82371,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1993,4226725.66405,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1994,4214004.12488,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1995,4241086.35405,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1996,4304232.58355,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1997,4240418.57569,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1998,4190637.45137,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),1999,4102517.03577,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2000,4141954.03185,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2001,4142913.29087,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2002,4159783.14894,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2003,4246654.18699,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2004,4208292.61036,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2005,4195965.00217,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2006,4194673.28985,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2007,4194207.22555,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2008,4057795.00030,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2009,3742770.65129,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EU27_2020,European Union - 27 countries (from 2020),2010,3820496.51522,
