Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd)
Oslo - Haugenstua;SN18269;07.2017;16,4
Oslo - Haugenstua;SN18269;08.2017;14,5
Oslo - Haugenstua;SN18269;09.2017;11,6
Oslo - Haugenstua;SN18269;11.2017;-1
Oslo - Haugenstua;SN18269;12.2017;-4,2
Oslo - Haugenstua;SN18269;03.2018;-3,3
Oslo - Haugenstua;SN18269;04.2018;5,5
Oslo - Haugenstua;SN18269;05.2018;15,5
Oslo - Haugenstua;SN18269;06.2018;17,5
Oslo - Haugenstua;SN18269;07.2018;21,7
Oslo - Haugenstua;SN18269;08.2018;15,5
Oslo - Haugenstua;SN18269;09.2018;11,7
Oslo - Haugenstua;SN18269;10.2018;6,2
Oslo - Haugenstua;SN18269;11.2018;2,8
Oslo - Haugenstua;SN18269;12.2018;-2,6
Oslo - Haugenstua;SN18269;01.2019;-5,2
Oslo - Haugenstua;SN18269;02.2019;-0,8
Oslo - Haugenstua;SN18269;03.2019;1,4
Oslo - Haugenstua;SN18269;04.2019;7,7
Oslo - Haugenstua;SN18269;05.2019;10,2
Oslo - Haugenstua;SN18269;06.2019;15,1
Oslo - Haugenstua;SN18269;07.2019;17,3
Oslo - Haugenstua;SN18269;08.2019;16,3
Oslo - Haugenstua;SN18269;09.2019;10,5
Oslo - Haugenstua;SN18269;10.2019;4,6
Oslo - Haugenstua;SN18269;11.2019;0,2
Oslo - Haugenstua;SN18269;12.2019;-0,7
Oslo - Haugenstua;SN18269;01.2020;1,5
Oslo - Haugenstua;SN18269;02.2020;0,9
Oslo - Haugenstua;SN18269;03.2020;2,6
Oslo - Haugenstua;SN18269;04.2020;6,6
Oslo - Haugenstua;SN18269;05.2020;9,9
Oslo - Haugenstua;SN18269;06.2020;18
Oslo - Haugenstua;SN18269;07.2020;14,3
Oslo - Haugenstua;SN18269;08.2020;16
Oslo - Haugenstua;SN18269;09.2020;11,7
Oslo - Haugenstua;SN18269;10.2020;6,9
Oslo - Haugenstua;SN18269;11.2020;4,1
Oslo - Haugenstua;SN18269;12.2020;1,2
Oslo - Haugenstua;SN18269;01.2021;-6,3
Oslo - Haugenstua;SN18269;02.2021;-5
Oslo - Haugenstua;SN18269;03.2021;2,2
Oslo - Haugenstua;SN18269;05.2021;10,3
Oslo - Haugenstua;SN18269;06.2021;17,2
Oslo - Haugenstua;SN18269;07.2021;19,4
Oslo - Haugenstua;SN18269;08.2021;15,3
Oslo - Haugenstua;SN18269;09.2021;12,1
Oslo - Haugenstua;SN18269;10.2021;7,9
Oslo - Haugenstua;SN18269;11.2021;1,7
Oslo - Haugenstua;SN18269;01.2022;-1,4
Oslo - Haugenstua;SN18269;02.2022;-0,1
Oslo - Haugenstua;SN18269;03.2022;2,4
Oslo - Haugenstua;SN18269;04.2022;6,3
Oslo - Haugenstua;SN18269;06.2022;17,3
Oslo - Haugenstua;SN18269;07.2022;17,8
Oslo - Haugenstua;SN18269;08.2022;17,8
Oslo - Haugenstua;SN18269;09.2022;11,8
Oslo - Haugenstua;SN18269;10.2022;8
Oslo - Haugenstua;SN18269;11.2022;4,2
Oslo - Haugenstua;SN18269;12.2022;-4
Oslo - Haugenstua;SN18269;01.2023;-1,5
Oslo - Haugenstua;SN18269;02.2023;-0,2
Data er gyldig per 08.05.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;
