Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd)
Oslo - Blindern;SN18700;01.2016;-5,5
Oslo - Blindern;SN18700;02.2016;-0,7
Oslo - Blindern;SN18700;03.2016;3,1
Oslo - Blindern;SN18700;04.2016;5,9
Oslo - Blindern;SN18700;05.2016;12,3
Oslo - Blindern;SN18700;06.2016;16,7
Oslo - Blindern;SN18700;07.2016;17,2
Oslo - Blindern;SN18700;08.2016;15,5
Oslo - Blindern;SN18700;09.2016;15
Oslo - Blindern;SN18700;10.2016;6,1
Oslo - Blindern;SN18700;11.2016;0,7
Oslo - Blindern;SN18700;12.2016;0,9
Oslo - Blindern;SN18700;01.2017;-1,4
Oslo - Blindern;SN18700;02.2017;-1,5
Oslo - Blindern;SN18700;03.2017;2,6
Oslo - Blindern;SN18700;04.2017;5,2
Oslo - Blindern;SN18700;05.2017;11,6
Oslo - Blindern;SN18700;06.2017;15,1
Oslo - Blindern;SN18700;07.2017;16,9
Oslo - Blindern;SN18700;08.2017;15,3
Oslo - Blindern;SN18700;09.2017;12,2
Oslo - Blindern;SN18700;10.2017;7,2
Oslo - Blindern;SN18700;11.2017;1,6
Oslo - Blindern;SN18700;12.2017;-1,5
Oslo - Blindern;SN18700;01.2018;-1,7
Oslo - Blindern;SN18700;02.2018;-4,1
Oslo - Blindern;SN18700;03.2018;-2,3
Oslo - Blindern;SN18700;04.2018;6,5
Oslo - Blindern;SN18700;05.2018;16,1
Oslo - Blindern;SN18700;06.2018;17,9
Oslo - Blindern;SN18700;07.2018;22,2
Oslo - Blindern;SN18700;08.2018;16,3
Oslo - Blindern;SN18700;09.2018;12,5
Oslo - Blindern;SN18700;10.2018;7,4
Oslo - Blindern;SN18700;11.2018;3,4
Oslo - Blindern;SN18700;12.2018;-1,2
Oslo - Blindern;SN18700;01.2019;-2,8
Oslo - Blindern;SN18700;02.2019;0,5
Oslo - Blindern;SN18700;03.2019;2,3
Oslo - Blindern;SN18700;04.2019;8,7
Oslo - Blindern;SN18700;05.2019;10,4
Oslo - Blindern;SN18700;06.2019;15,4
Oslo - Blindern;SN18700;07.2019;17,9
Oslo - Blindern;SN18700;08.2019;16,8
Oslo - Blindern;SN18700;09.2019;11,4
Oslo - Blindern;SN18700;10.2019;5,4
Oslo - Blindern;SN18700;11.2019;1
Oslo - Blindern;SN18700;12.2019;0,4
Oslo - Blindern;SN18700;01.2020;2,7
Oslo - Blindern;SN18700;02.2020;1,9
Oslo - Blindern;SN18700;03.2020;3
Oslo - Blindern;SN18700;04.2020;7,3
Oslo - Blindern;SN18700;05.2020;10,2
Oslo - Blindern;SN18700;06.2020;18,8
Oslo - Blindern;SN18700;07.2020;15,1
Oslo - Blindern;SN18700;08.2020;17,2
Oslo - Blindern;SN18700;09.2020;12,8
Oslo - Blindern;SN18700;10.2020;8,1
Oslo - Blindern;SN18700;11.2020;5,2
Oslo - Blindern;SN18700;12.2020;2,2
Oslo - Blindern;SN18700;01.2021;-4,7
Oslo - Blindern;SN18700;02.2021;-3,2
Oslo - Blindern;SN18700;03.2021;3,1
Oslo - Blindern;SN18700;04.2021;5,7
Oslo - Blindern;SN18700;05.2021;10,6
Oslo - Blindern;SN18700;06.2021;17,3
Oslo - Blindern;SN18700;07.2021;19,9
Oslo - Blindern;SN18700;08.2021;16,4
Oslo - Blindern;SN18700;09.2021;13,2
Oslo - Blindern;SN18700;10.2021;8,7
Oslo - Blindern;SN18700;11.2021;2,7
Oslo - Blindern;SN18700;12.2021;-3
Oslo - Blindern;SN18700;01.2022;-0,2
Oslo - Blindern;SN18700;02.2022;0,3
Oslo - Blindern;SN18700;03.2022;2,8
Oslo - Blindern;SN18700;04.2022;6,4
Oslo - Blindern;SN18700;05.2022;11,4
Oslo - Blindern;SN18700;06.2022;16,7
Oslo - Blindern;SN18700;07.2022;17,5
Oslo - Blindern;SN18700;08.2022;17,3
Oslo - Blindern;SN18700;09.2022;12
Oslo - Blindern;SN18700;10.2022;8
Oslo - Blindern;SN18700;11.2022;4,8
Oslo - Blindern;SN18700;12.2022;-3,6
Oslo - Blindern;SN18700;01.2023;-1,1
Oslo - Blindern;SN18700;02.2023;0,4
Oslo - Blindern;SN18700;03.2023;-0,5
Oslo - Blindern;SN18700;04.2023;6,1
Oslo - Blindern;SN18700;05.2023;11,9
Oslo - Blindern;SN18700;06.2023;19
Oslo - Blindern;SN18700;07.2023;16,3
Oslo - Blindern;SN18700;08.2023;16,2
Oslo - Blindern;SN18700;09.2023;14,4
Oslo - Blindern;SN18700;10.2023;5,4
Oslo - Blindern;SN18700;11.2023;-0,4
Oslo - Blindern;SN18700;12.2023;-4,6
Oslo - Blindern;SN18700;01.2024;-5,6
Oslo - Blindern;SN18700;02.2024;-0,9
Oslo - Blindern;SN18700;03.2024;2,7
Oslo - Blindern;SN18700;04.2024;5,8
Oslo - Blindern;SN18700;05.2024;16,1
Oslo - Blindern;SN18700;06.2024;15,2
Oslo - Blindern;SN18700;07.2024;16,9
Oslo - Blindern;SN18700;08.2024;16,2
Oslo - Blindern;SN18700;09.2024;13,2
Oslo - Blindern;SN18700;10.2024;8,3
Oslo - Blindern;SN18700;11.2024;2,5
Oslo - Blindern;SN18700;12.2024;1,1
Data er gyldig per 08.05.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;
